"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering";1;"16Mhz";;;
2;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
3;"C12,C6,C1,C5,C9,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100n/50V";;;
4;"REF**";"Geil Small";1;"Geil Small";;;
5;"J6,J5";"TestPoint_Pad_D1.0mm";2;"Conn_01x01_Female";;;
6;"U1";"QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm";1;"ATmega328P-PU";;;
7;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Open";;;
8;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4u7/10v";;;
9;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22n/50V";;;
10;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470n/10V";;;
11;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u/50V";;;
12;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2R2";;;
13;"R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"R0805/0R11";;;
14;"H1";"Nema 17";1;"Nema17";;;
15;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"JST 4 Pin";;;
16;"J3,J4";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";2;"JST 5 Pin";;;
17;"SW2";"SW_DIP_SPSTx07_Slide_6.7x19.34mm_W6.73mm_P2.54mm_LowProfile_JPin";1;"SW_DIP_x07";;;
18;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF/50V";;;
19;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
20;"SW1";"SPST_FSM2JMTR";1;"SW_SPST";;;
21;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1u";;;
22;"U2";"QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.1mm_ThermalVias";1;"TMC2130-LA";;;
23;"RV1";"TRIM_3361P-1-104GLF";1;"20K";;;
24;"J2";"PinHeader_1x10_P2.54mm_Vertical";1;"Male Connector 10 Pin";;;
25;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_WithDirection";1;"GREEN";;;
26;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"500Ω";;;
27;"R2,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"150Ω";;;
28;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M";;;
29;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
30;"JP2,JP3";"SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm_NumberLabels";2;"SolderJumper_3_Bridged12";;;
31;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_WithDirection";1;"YELLOW";;;
32;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder_WithDirection";1;"RED";;;
33;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20K";;;
